Device,TurnOnEdges,MedianVdsBeforeTurnOn_V,WorstVdsBeforeTurnOn_V,MedianAbsCommutationCurrent_A,Classification
QA1,750,1.80403525792709,1.80585677944601,0.201724062970583,ZVS
QA2,751,134.043830786851,142.29145072864,1.54885644504429,Reduced-voltage hard turn-on
QA3,750,134.190188470219,142.400109685519,1.14465765285822,Reduced-voltage hard turn-on
QA4,750,1.80403792118874,1.80594224455473,0.201865193347552,ZVS
QB1,750,1.87366769953893,1.87532435430133,3.68338610754764,ZVS
QB2,750,133.187846769273,133.194032629053,3.3461421730001,Reduced-voltage hard turn-on
QB3,750,133.133633323197,133.139252756154,3.42708571653256,Reduced-voltage hard turn-on
QB4,750,1.87367550999254,1.87528134768754,3.6837763170141,ZVS
